Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-323,131.4,-99.2,-90.0,bottom
D2,1N4148,D_SOD-323,128.9,-99.2,-90.0,bottom
D3,1N4148,D_SOD-323,144.1,-99.2,-90.0,bottom
D4,1N4148,D_SOD-323,141.6,-99.2,-90.0,bottom
R1,10K,R_0603_1608Metric,144.1,-88.9,-90.0,bottom
R2,10K,R_0603_1608Metric,141.6,-88.9,-90.0,bottom
R3,10K,R_0603_1608Metric,139.0,-88.9,-90.0,bottom
R4,10K,R_0603_1608Metric,136.5,-88.9,-90.0,bottom
R5,10K,R_0603_1608Metric,134.0,-88.9,-90.0,bottom
R6,10K,R_0603_1608Metric,131.4,-88.9,-90.0,bottom
R7,10K,R_0603_1608Metric,128.9,-88.9,-90.0,bottom
SW0,RIGHT,SNES_BTN_5mm_0.3_0.3,104.5838,-105.222,0.0,top
SW1,LEFT,SNES_BTN_5mm_0.3_0.3,86.8338,-105.222,0.0,top
SW2,DOWN,SNES_BTN_5mm_0.3_0.3,95.5838,-113.972,0.0,top
SW3,UP,SNES_BTN_5mm_0.3_0.3,95.5838,-96.222,0.0,top
SW4,START,SNES_BTN_5mm_0.3_0.3,139.3338,-109.722,0.0,top
SW5,SELECT,SNES_BTN_5mm_0.3_0.3,123.8338,-109.722,0.0,top
SW6,Y,SNES_BTN_5mm_0.3_0.3,164.0678,-105.222,0.0,top
SW7,B,SNES_BTN_5mm_0.3_0.3,177.5678,-115.722,0.0,top
SW10,X,SNES_BTN_5mm_0.3_0.3,177.5678,-94.722,0.0,top
SW11,A,SNES_BTN_5mm_0.3_0.3,191.0678,-105.222,0.0,top
U1,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,132.7,-96.1,90.0,bottom
U2,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,142.9,-96.1,90.0,bottom
